created_at,text
11/29/2021 2:42,"RT @Laurie_Garrett: An emergency session of the World Health Assembly @WHO just voted to establish, ""an
intergovernmental negotiating body…"
11/29/2021 2:42,"RT @SecretLee_: Willful misinformation from Republican Congressman @RonnyJacksonTX and West Point, Harvard educated and Political and Veter…"
11/29/2021 2:41,"Omicron, first discovered in southern Africa, represents a fresh challenge to global efforts to battle the pandemic… https://t.co/otCedHsJ97"
11/29/2021 2:39,"Visit the link: 

https://t.co/2VGnwpGt7o

@CyrilRamaphosa 

#OTNews #OmicronVariant
#Pandemic
#Virus #SouthAfrica… https://t.co/mpgu6lW8Tk"
11/29/2021 2:38,RT @mcx5ho1: The #pandemic has us speaking more freely to #HR about work and finances. But that brings its own set of challenges. https://t…
11/29/2021 2:38,"RT @cartoonmovement: Triumph of the unwillingness. Cartoon by @paolo_calleri: https://t.co/UhsGFFmWSe

#corona #protests #antivax #pandemic…"
11/29/2021 2:37,"WHO issues emergency use listing for eighth COVID-19 vaccine

We need alternatives to the #mrnavaccines in the #EU.… https://t.co/H0ctLWnYpr"
11/29/2021 2:36,The #pandemic has us speaking more freely to #HR about work and finances. But that brings its own set of challenges… https://t.co/gwbwqkRww0
11/29/2021 2:36,"RT @ikluft: As a Libertarian, I understand emergency orders under #COVID19 #pandemic should not come easy. Officials must justify actions.…"
11/29/2021 2:36,"RT @ikluft: ""American vaccine misinformation and extremism are infiltrating New Zealand"" by @NBCNews - Extremist antivax rhetoric now origi…"
11/29/2021 2:35,"As a Libertarian, I understand emergency orders under #COVID19 #pandemic should not come easy. Officials must justi… https://t.co/I3X7n6sYHt"
11/29/2021 2:35,RT @JournoKamal: @DeccanChronicle reports #Omnicron #buzz #OmicronVariant #pandemic #PandemicTreaty #Covid_19 #Hyderabad #Vizag #AndhraPrad…
11/29/2021 2:35,"Countries break deadlock on #pandemic treaty, agree to start negotiations – POLITICO: A very positive and much need… https://t.co/a649qXXVTO"
11/29/2021 2:34,@DeccanChronicle reports #Omnicron #buzz #OmicronVariant #pandemic #PandemicTreaty #Covid_19 #Hyderabad #Vizag… https://t.co/KQX76Ljc1M
11/29/2021 2:33,"RT @Laurie_Garrett: An emergency session of the World Health Assembly @WHO just voted to establish, ""an
intergovernmental negotiating body…"
11/29/2021 2:31,"Normally, I'd be anxiously hoping for the holiday season to be over and looking forward to next year. Not feeling t… https://t.co/2pCY9ehlvt"
11/29/2021 2:31,"@TextbookAmI Well, the Right people are making all kinds of #money from this #pandemic.  Why would… https://t.co/yxAJBZDra7"
11/29/2021 2:30,"Supporting Multicultural #Community #Infrastructure 
https://t.co/xPwx71SOh0
#Andrews #AusPol #Australia #Culture… https://t.co/rqlDC7XMog"
11/29/2021 2:29,"""American vaccine misinformation and extremism are infiltrating New Zealand"" by @NBCNews - Extremist antivax rhetor… https://t.co/qL4xDwBdsZ"
11/29/2021 2:29,Remember when #trump imposed a ban on #african nations during the #pandemic?  #biden and #democrats were screaming… https://t.co/xNvZIY3tLW
11/29/2021 2:27,RT @HipHopHoF: #SmallBusinessSaturday2021! The Time To #ShopLocal In Your City! Small Businesses Were Hit Hard By The #Pandemic and Need Ou…
11/29/2021 2:25,"Employment: The popularity of remote work persists in Luxembourg - RTL Today
#remote #employees #life #pandemic… https://t.co/nNtj3eT1Ub"
11/29/2021 2:24,"RT @wqbelle: ""Metrofloat New York"" : Post-Apocalyptic SciFi Thriller
Amazon https://t.co/VTuI0IZ1Ra
#PostApocalypse #PostApocalyptic #SciFi…"
